1771480,1480.0,590.0,water
3060960,960.0,1020.0,water
4230530,530.0,1410.0,water
1681490,1490.0,560.0,water
1561590,1590.0,520.0,shore
1681500,1500.0,560.0,water
4230540,540.0,1410.0,water
3060970,970.0,1020.0,water
3060980,980.0,1020.0,water
4230550,550.0,1410.0,shore
1561570,1570.0,520.0,water
1771470,1470.0,590.0,water
3060990,990.0,1020.0,water
1561580,1580.0,520.0,water
1681480,1480.0,560.0,water
1771460,1460.0,590.0,water
3060930,930.0,1020.0,water
1681520,1520.0,560.0,water
3060940,940.0,1020.0,water
1561560,1560.0,520.0,water
1681530,1530.0,560.0,water
1620860,860.0,540.0,water
1771510,1510.0,590.0,water
3060950,950.0,1020.0,water
1681510,1510.0,560.0,water
1771500,1500.0,590.0,water
1561540,1540.0,520.0,water
1771490,1490.0,590.0,water
1561550,1550.0,520.0,water
1771420,1420.0,590.0,water
3060900,900.0,1020.0,water
1561520,1520.0,520.0,water
1681430,1430.0,560.0,water
1771410,1410.0,590.0,water
3060910,910.0,1020.0,water
1561530,1530.0,520.0,water
1561510,1510.0,520.0,water
1681410,1410.0,560.0,water
1771400,1400.0,590.0,water
3060920,920.0,1020.0,water
1681420,1420.0,560.0,water
3060870,870.0,1020.0,water
1561490,1490.0,520.0,water
1681460,1460.0,560.0,water
1771450,1450.0,590.0,water
3030280,280.0,1010.0,water
1561500,1500.0,520.0,water
1681470,1470.0,560.0,water
1771440,1440.0,590.0,water
3060880,880.0,1020.0,water
3030290,290.0,1010.0,water
1681440,1440.0,560.0,water
3060890,890.0,1020.0,water
1681450,1450.0,560.0,water
1771430,1430.0,590.0,water
3030300,300.0,1010.0,water
1561480,1480.0,520.0,water
3092200,2200.0,1030.0,water
3060840,840.0,1020.0,shore
1771350,1350.0,590.0,water
4230410,410.0,1410.0,water
1561470,1470.0,520.0,water
1561460,1460.0,520.0,water
1620950,950.0,540.0,water
4230400,400.0,1410.0,water
3060860,860.0,1020.0,water
1771330,1330.0,590.0,water
4230430,430.0,1410.0,water
1561450,1450.0,520.0,water
3092220,2220.0,1030.0,water
1681610,1610.0,560.0,shore
1620940,940.0,540.0,water
1620930,930.0,540.0,shore
1561440,1440.0,520.0,water
3092210,2210.0,1030.0,water
4230420,420.0,1410.0,water
1681600,1600.0,560.0,water
3060850,850.0,1020.0,water
1771340,1340.0,590.0,water
1771380,1380.0,590.0,water
4230440,440.0,1410.0,water
1620990,990.0,540.0,water
1561430,1430.0,520.0,water
1620980,980.0,540.0,water
1771390,1390.0,590.0,water
1771360,1360.0,590.0,water
4230460,460.0,1410.0,water
1620970,970.0,540.0,water
3092190,2190.0,1030.0,shore
1681640,1640.0,560.0,shore
1561420,1420.0,520.0,water
1620960,960.0,540.0,water
1561410,1410.0,520.0,water
1771370,1370.0,590.0,water
4230450,450.0,1410.0,water
1681560,1560.0,560.0,water
1561400,1400.0,520.0,water
1620890,890.0,540.0,water
1771280,1280.0,590.0,water
1771290,1290.0,590.0,water
4230470,470.0,1410.0,shore
1620880,880.0,540.0,water
1771270,1270.0,590.0,water
1561390,1390.0,520.0,water
1681550,1550.0,560.0,water
1620870,870.0,540.0,water
1561380,1380.0,520.0,water
1681540,1540.0,560.0,water
1561370,1370.0,520.0,water
1771320,1320.0,590.0,water
1681590,1590.0,560.0,water
1561360,1360.0,520.0,water
1771300,1300.0,590.0,water
4230520,520.0,1410.0,water
1681580,1580.0,560.0,water
1681570,1570.0,560.0,water
1620900,900.0,540.0,shore
1561350,1350.0,520.0,water
1771310,1310.0,590.0,water
1771210,1210.0,590.0,water
4230290,290.0,1410.0,water
3030130,130.0,1010.0,water
1771200,1200.0,590.0,water
4230300,300.0,1410.0,water
3030140,140.0,1010.0,water
3061220,1220.0,1020.0,shore
3030120,120.0,1010.0,water
1771220,1220.0,590.0,water
4230280,280.0,1410.0,water
1561340,1340.0,520.0,water
3030100,100.0,1010.0,water
3061200,1200.0,1020.0,shore
4230320,320.0,1410.0,water
3030110,110.0,1010.0,water
4230330,330.0,1410.0,water
3061210,1210.0,1020.0,shore
4230310,310.0,1410.0,water
3061190,1190.0,1020.0,shore
3030080,80.0,1010.0,water
1771260,1260.0,590.0,shore
3030090,90.0,1010.0,water
1771150,1150.0,590.0,water
3030070,70.0,1010.0,water
1771140,1140.0,590.0,water
4230360,360.0,1410.0,water
2431110,1110.0,810.0,water
2431130,1130.0,810.0,shore
3030050,50.0,1010.0,water
1771160,1160.0,590.0,water
4230340,340.0,1410.0,water
2431120,1120.0,810.0,water
3061160,1160.0,1020.0,water
3030060,60.0,1010.0,water
4230350,350.0,1410.0,water
1771180,1180.0,590.0,water
3061140,1140.0,1020.0,water
4230390,390.0,1410.0,water
3092240,2240.0,1030.0,water
3030040,40.0,1010.0,water
1771170,1170.0,590.0,water
3061150,1150.0,1020.0,water
3092250,2250.0,1030.0,shore
3061120,1120.0,1020.0,water
4230370,370.0,1410.0,water
3092230,2230.0,1030.0,water
3030020,20.0,1010.0,water
1771190,1190.0,590.0,water
3061130,1130.0,1020.0,water
3030030,30.0,1010.0,water
4230380,380.0,1410.0,water
3030270,270.0,1010.0,water
2431040,1040.0,810.0,water
4862500,2500.0,1620.0,water
4230170,170.0,1410.0,water
3030260,260.0,1010.0,water
3061110,1110.0,1020.0,water
1771080,1080.0,590.0,water
810040,40.0,270.0,water
2431050,1050.0,810.0,water
4862510,2510.0,1620.0,water
4230160,160.0,1410.0,water
3061100,1100.0,1020.0,water
1771090,1090.0,590.0,water
2431060,1060.0,810.0,water
810020,20.0,270.0,water
3030250,250.0,1010.0,water
2431070,1070.0,810.0,water
4230150,150.0,1410.0,water
4862520,2520.0,1620.0,water
3061090,1090.0,1020.0,water
1771100,1100.0,590.0,water
810030,30.0,270.0,water
3030240,240.0,1010.0,water
810000,0.0,270.0,water
3061080,1080.0,1020.0,water
1771110,1110.0,590.0,water
4862470,2470.0,1620.0,water
4230200,200.0,1410.0,water
3030230,230.0,1010.0,water
810010,10.0,270.0,water
2431080,1080.0,810.0,water
4230190,190.0,1410.0,water
4862480,2480.0,1620.0,water
3061070,1070.0,1020.0,water
1771120,1120.0,590.0,water
3030220,220.0,1010.0,water
2431090,1090.0,810.0,water
3061060,1060.0,1020.0,water
1771130,1130.0,590.0,water
2431100,1100.0,810.0,water
4230180,180.0,1410.0,water
4862490,2490.0,1620.0,water
3030210,210.0,1010.0,water
3030200,200.0,1010.0,water
3061050,1050.0,1020.0,water
810100,100.0,270.0,shore
2430980,980.0,810.0,water
4862560,2560.0,1620.0,water
1771010,1010.0,590.0,water
1771020,1020.0,590.0,water
3061040,1040.0,1020.0,water
2430990,990.0,810.0,water
4862570,2570.0,1620.0,water
4230230,230.0,1410.0,water
1771030,1030.0,590.0,water
4230220,220.0,1410.0,water
810080,80.0,270.0,water
3030190,190.0,1010.0,water
4230210,210.0,1410.0,water
2431000,1000.0,810.0,water
